Time,OS,OS.Diff,,,44,,0.022727273
2.75862069,0.975903614,0.024096386,0,,,,
6.206896552,0.951807229,0.015060241,0,,,,
7.586206897,0.936746988,0.021084337,0,,,,
8.965517241,0.915662651,0.069277108,2,,,,
9.655172414,0.846385542,0.042168675,1,,,,
12.4137931,0.804216867,0.108433735,4,7,31,,
15.17241379,0.695783133,0.018072289,0,,,,
19.31034483,0.677710843,0.06626506,2,,,,
20.68965517,0.611445783,0.027108434,0,9,26,,
23.44827586,0.584337349,0.063253012,2,,,,
26.89655172,0.521084337,0.045180723,1,,,,
28.27586207,0.475903614,0.030120482,0,,,,
33.10344828,0.445783133,0.018072289,0,12,19,,
42.06896552,0.427710843,0.045180723,1,,,,
43.44827586,0.38253012,0.042168675,1,,,,
45.51724138,0.340361446,0.030120482,0,14,14,,
51.03448276,0.310240964,0.030120482,0,,,,
56.55172414,0.280120482,0.030120482,0,,,,
68.96551724,0.25,0.015060241,0,,,,
81.37931034,0.234939759,0.015060241,0,,,,
84.13793103,0.219879518,0.06626506,2,,,,
86.89655172,0.153614458,,,,,,
