Time,OS,OS.Diff,,,81,,0.012345679
3.157894737,0.962778568,0.046625573,3,,,,
7.368421053,0.916152995,0.027422159,1,,,,
8.421052632,0.888730836,0.033112059,2,,,,
12.63157895,0.855618777,0.032716927,2,8,69,,
15.78947368,0.822901849,0.027422159,1,,,,
16.84210526,0.79547969,0.018808282,1,,,,
18.94736842,0.776671408,0.022917654,1,,,,
20,0.753753754,0.022917654,1,,,,
21.05263158,0.730836099,0.022917654,1,,,,
22.10526316,0.707918445,0.010194405,0,13,58,,
25.26315789,0.69772404,0.027422159,1,,,,
26.31578947,0.670301881,0.014698909,0,,,,
29.47368421,0.655602971,0.037221432,2,,,,
32.63157895,0.618381539,0.037616564,2,,,,
36.84210526,0.580764976,0.041330804,2,20,46,,
38.94736842,0.539434171,0.045835309,3,,,,
41.05263158,0.493598862,0,0,,,,
41.05263158,0.493598862,0.041725936,2,,,,
44.21052632,0.451872926,0.018808282,1,,,,
46.31578947,0.433064644,0.033507191,2,28,33,,
51.57894737,0.399557452,0.029397819,1,,,,
57.89473684,0.370159633,0.018808282,1,,,,
60,0.351351351,0.028607555,1,,,,
64.21052632,0.322743796,0.014698909,0,,,,
67.36842105,0.308044887,0.010036352,0,,,,
82.10526316,0.298008535,0.052710605,3,,,,
90.52631579,0.24529793,0.015489173,0,,,,
95.78947368,0.229808756,0.026473842,1,,,,
106.3157895,0.203334914,0.032954007,2,,,,
122.1052632,0.170380907,0.063142089,4,,,,
146.3157895,0.107238818,0.080132764,5,,,,
155.7894737,0.027106053,0.027106053,1,,,,
