Time,OS,OS.Diff,,,998,,0.001002004
3.383199079,0.991596488,0,0,,,,
4.902186421,0.994440146,0.00639105,5,,,,
5.730724971,0.988049096,0.003296058,2,,,,
6.69735328,0.984753038,0.003296058,2,,,,
7.663981588,0.98145698,0.004818421,4,,,,
8.423475259,0.976638559,0.004843554,4,,,,
9.321058688,0.971795005,0.007951112,7,,,,
10.14959724,0.963843893,0.00639105,5,,,,
10.97813579,0.957452844,0.003270925,2,,,,
11.80667434,0.954181919,0.004944087,4,35,953,,
13.2566168,0.949237831,0.003208091,2,,,,
13.73993096,0.94602974,0.004818421,4,,,,
14.49942463,0.941211319,0.007938545,7,,,,
15.2589183,0.933272774,0.004818421,4,,,,
16.01841197,0.928454353,0.006378483,5,,,,
16.77790564,0.92207587,0.011046104,10,,,,
17.46835443,0.911029767,0.007925979,7,,,,
18.15880322,0.903103788,0.009473474,8,,,,
18.78020713,0.893630314,0.004705321,4,,,,
18.91829689,0.888924993,0.014279328,13,,,,
20.2301496,0.874645665,0.009498608,8,,,,
20.98964327,0.865147057,0.007913412,7,,,,
21.61104718,0.857233645,0.007900845,7,,,,
22.16340621,0.8493328,0.007988812,7,,,,
23.1990794,0.841343987,0.006365916,5,,,,
23.88952819,0.834978071,0.011033537,10,143,829,,
24.51093211,0.823944534,0.006378483,5,,,,
25.27042578,0.817566051,0.007925979,7,,,,
25.96087457,0.809640073,0.00639105,5,,,,
26.78941312,0.803249023,0.011033537,10,,,,
27.41081703,0.792215486,0.012593599,12,,,,
28.03222094,0.779621887,0.009473474,8,,,,
28.65362486,0.770148412,0.009486041,8,,,,
29.34407365,0.760662371,0.004818421,4,,,,
30.10356732,0.755843951,0.012555899,12,,,,
30.51783659,0.743288051,0.009712241,9,,,,
32.45109321,0.73357581,0.007913412,7,,,,
33.07249712,0.725662398,0.007938545,7,,,,
33.83199079,0.717723853,0.007938545,7,,,,
34.59148446,0.709785307,0.011046104,10,,,,
35.28193326,0.698739204,0.003270925,2,256,701,,
36.11047181,0.695468279,0.007925979,7,,,,
36.8009206,0.6875423,0.012643866,12,,,,
37.69850403,0.674898434,0.012606166,12,,,,
38.38895282,0.662292268,0.007913412,7,,,,
39.01035673,0.654378856,0.014153662,13,,,,
39.63176064,0.640225195,0.007938545,7,,,,
40.39125432,0.632286649,0.012618733,12,,,,
41.15074799,0.619667917,0.011121504,10,,,,
42.25546605,0.608546413,0.012656433,12,,,,
43.22209436,0.595889981,0.007913412,7,,,,
43.84349827,0.587976569,0.009410641,8,,,,
44.11967779,0.578565927,0.004818421,4,,,,
44.87917146,0.573747507,0.011083804,10,,,,
45.77675489,0.562663703,0.007875712,7,,,,
46.19102417,0.554787991,0.009536308,9,,,,
47.15765247,0.545251683,0.010970704,10,,,,
47.43383199,0.53428098,0.003471992,2,405,535,,
49.36708861,0.530808988,0.009486041,8,,,,
50.0575374,0.521322947,0.007925979,7,,,,
50.74798619,0.513396969,0.007925979,7,,,,
51.43843498,0.50547099,0.008001379,7,,,,
52.54315305,0.497469611,0.003245792,2,,,,
53.23360184,0.49422382,0.008215012,7,,,,
55.51208285,0.486008807,0.011146637,10,,,,
56.75489068,0.474862171,0.004818421,4,,,,
57.51438435,0.47004375,0.006403616,5,,,,
58.41196778,0.463640134,0.00639105,5,,,,
59.24050633,0.457249084,0.014229062,13,,,,
60.27617952,0.443020022,0.011335137,10,,,,
62.55466053,0.431684885,,,,,,
