Time,OS,OS.Diff,,,,57,0.01754386,
4.255229147,1,,,,,,,
5.413976685,0.981132075,0.018867925,,,,,,
5.895926448,0.964360587,0.016771488,,,,,,
6.861448018,0.947589099,0.016771488,,,,,,
7.828591633,0.947589099,0,,,,,,
10.87509402,0.947589099,0,,51,,,,
13.62962852,0.928721174,0.018867925,,,,,,
13.82133382,0.910901468,0.017819706,,,,,,
14.01283637,0.890985325,0.019916143,,,,,,
16.04383796,0.890985325,0,,,,,,
17.6379015,0.873165618,0.017819706,,,,,,
19.33040282,0.873165618,0,,,,,,
21.74633568,0.853249476,0.019916143,,,,,,
22.13319313,0.853249476,0,,,,,,
22.61494013,0.834381551,0.018867925,,,,,,
23.48354459,0.815513627,0.018867925,,41,,,,
24.74083129,0.815513627,0,,,,,,
25.60923298,0.794549266,0.020964361,,,,,,
27.59187739,0.794549266,0,,,,,,
30.68663558,0.793501048,0,,,,,,
34.99052604,0.794549266,0,,,,,,
35.47186754,0.77148847,0.023060797,,,,,,
35.56645297,0.749475891,0.022012579,,,,,,
37.21049573,0.748427673,0,,33,,,,
38.36883776,0.725366876,0.023060797,,,,,,
38.946995,0.703354298,0.022012579,,,,,,
39.13799065,0.678197065,0.025157233,,,,,,
39.81499118,0.678197065,0,,,,,,
40.39537873,0.679245283,0,,,,,,
41.84609415,0.679245283,0,,,,,,
43.87709574,0.679245283,0,,,,,,
44.16723883,0.679245283,0,,,,,,
44.74752499,0.679245283,0,,,,,,
45.22825822,0.649895178,0.029350105,,23,,,,
48.22640343,0.649895178,0,,,,,,
48.61021954,0.618448637,0.031446541,,,,,,
51.2215073,0.618448637,0,,,,,,
51.8954665,0.587002096,0.031446541,,,,,,
52.76589575,0.587002096,0,,,,,,
53.34608054,0.585953878,0,,,,,,
53.72959252,0.551362683,0.034591195,,,,,,
55.18030794,0.551362683,0,,,,,,
55.8572071,0.550314465,0,,,,,,
56.14735018,0.550314465,0,,13,,,,
60.30606772,0.550314465,0,,,,,,
60.98296687,0.549266247,0,,,,,,
